time, aquisitionDuration, accX, accY, accZ, gyroX, gyroY, gyroZ
0.373,0.001220,36.431201,-11.853305,7.324538,93.170000,738.850000,-133.350000
0.375,0.001223,38.652499,-10.867126,5.979313,41.720000,673.050000,-137.550000
0.377,0.001254,40.447729,-9.670306,4.437809,-26.670000,578.130000,-141.260000
0.379,0.001197,41.208906,-8.310718,3.647907,-77.350000,504.630000,-147.770000
0.381,0.001211,41.462632,-6.697405,3.418118,-121.590000,402.710000,-147.140000
0.383,0.001195,41.251992,-4.997920,2.992050,-170.660000,323.400000,-141.960000
0.385,0.001152,40.600922,-3.140456,2.929815,-202.370000,242.970000,-122.780000
0.387,0.001148,39.667402,-1.402673,3.360671,-232.610000,135.310000,-105.840000
0.389,0.001145,38.341326,0.258513,4.322914,-262.920000,56.980000,-88.340000
0.391,0.001145,36.541308,1.737783,5.266008,-281.750000,-18.060000,-67.340000
0.393,0.001146,33.630642,3.135668,6.424530,-295.260000,-108.570000,-61.810000
0.395,0.001144,29.719434,4.184083,7.477731,-298.130000,-166.810000,-65.240000
0.397,0.001145,25.243327,5.055368,8.157525,-302.890000,-230.300000,-76.370000
0.399,0.001149,19.814552,6.084633,8.899554,-312.200000,-268.660000,-84.560000
0.401,0.001151,14.165562,6.975067,9.924031,-317.240000,-308.770000,-90.020000
0.403,0.001146,7.664435,8.277207,10.646911,-318.710000,-332.010000,-81.760000
0.405,0.001146,4.160146,9.344771,11.460748,-319.620000,-350.070000,-57.190000
0.407,0.001145,-0.157980,10.464994,12.504375,-317.520000,-365.400000,-29.750000
0.409,0.001145,-4.830366,11.551707,13.634173,-304.010000,-369.390000,15.680000
0.411,0.001144,-6.371870,12.504375,13.677259,-287.280000,-361.200000,23.240000
0.413,0.001143,-9.024023,13.619812,13.739494,-272.720000,-346.220000,29.960000
0.415,0.001143,-10.776167,14.419287,14.586842,-259.140000,-322.840000,18.550000
0.416,0.001213,-12.705441,15.352807,15.194827,-233.310000,-282.380000,2.310000
0.419,0.001156,-14.711311,16.248028,15.400680,-209.930000,-247.310000,-21.420000
0.421,0.001146,-9.837860,12.169266,29.039640,-175.280000,-188.650000,-6.930000
0.423,0.001142,2.470236,12.049584,11.513408,151.550000,-264.670000,216.860000
0.425,0.001142,19.010289,6.611234,9.201152,111.300000,-438.340000,595.490000
0.427,0.001147,35.545554,-2.288320,14.036305,133.910000,-512.190000,899.780000
0.429,0.001146,48.648339,-9.249025,7.616562,149.030000,-710.640000,1140.160000
0.431,0.001143,61.147927,-15.836322,4.490469,46.130000,-821.590000,1148.070000
0.433,0.001147,70.133652,-22.720431,7.688372,-3.780000,-915.460000,987.000000
0.435,0.001146,73.867730,-28.536976,7.697946,-72.940000,-1002.960000,822.570000
0.437,0.001145,72.225693,-33.510960,8.248483,-198.310000,-1062.530000,699.720000
0.439,0.001148,66.026166,-39.188674,11.489472,-326.200000,-1147.790000,622.720000
0.441,0.001146,57.284592,-41.687634,16.812927,-541.170000,-1264.690000,625.240000
0.443,0.001146,51.410600,-46.000974,23.376288,-701.470000,-1358.070000,603.750000
0.445,0.001145,47.944609,-45.632353,27.512498,-899.010000,-1397.620000,527.170000
0.447,0.001145,48.231846,-44.813728,34.717355,-1141.280000,-1418.480000,353.990000
0.449,0.001145,46.039272,-42.917965,40.811562,-1294.090000,-1396.570000,39.130000
0.451,0.001147,40.964755,-38.786543,49.826010,-1465.870000,-1376.900000,-190.890000
0.453,0.001145,33.065743,-33.171063,56.370222,-1549.590000,-1375.570000,-396.760000
0.455,0.001145,20.436898,-27.670478,57.495233,-1648.710000,-1391.740000,-472.430000
0.457,0.001144,10.326163,-20.288493,59.879298,-1731.800000,-1401.750000,-464.310000
0.459,0.001144,3.020774,-15.707066,68.697468,-1811.110000,-1440.670000,-404.180000
0.461,0.001142,-7.621350,-10.962871,85.007731,-1910.650000,-1443.190000,-341.040000
0.463,0.001142,-20.929988,1.737783,78.262453,-1905.190000,-1420.790000,-275.030000
0.465,0.001143,-30.447101,16.161857,83.672080,-1900.920000,-1350.090000,-229.180000
0.467,0.001291,-43.727016,36.163113,73.604430,-1690.850000,-1245.860000,-169.680000
0.469,0.001153,-156.840867,153.331791,32.591802,-1632.470000,-998.410000,922.530000
0.471,0.001148,-156.735547,86.956154,151.900394,-1224.370000,-1145.550000,2293.480000
0.473,0.001145,33.242872,82.346003,0.143618,-406.000000,-476.280000,2139.620000
0.475,0.001143,98.416902,64.503811,29.604540,-636.020000,164.640000,426.720000
0.477,0.001146,121.702232,40.160492,40.682305,-294.000000,602.770000,-1861.860000
0.479,0.001147,83.724740,47.015877,18.052833,-204.680000,858.900000,-2293.480000
0.481,0.001145,35.746620,47.815353,38.441858,19.530000,667.590000,-2292.010000
0.483,0.001145,-5.423988,49.079195,22.356598,330.190000,81.550000,-1029.140000
0.485,0.001145,-51.693049,4.557491,-19.335824,365.540000,-223.300000,165.620000
0.487,0.001144,-73.183149,-63.211245,-18.234750,69.230000,-299.040000,710.920000
0.489,0.001145,-13.452257,-45.460011,-6.740490,-50.260000,-82.670000,487.970000
0.491,0.001145,16.219305,-1.651612,0.861710,-91.630000,-70.350000,337.470000
0.493,0.001144,25.678970,8.277207,5.615479,-86.730000,-97.160000,336.490000
0.495,0.001144,20.140087,10.785742,7.602201,-81.550000,-102.480000,263.900000
0.497,0.001145,7.841565,10.000628,9.124556,-66.290000,-76.370000,150.010000
0.499,0.001145,2.628217,10.000628,10.192119,-26.040000,4.900000,33.950000
0.501,0.001144,4.849515,9.727753,10.005415,6.090000,40.530000,-75.250000
0.503,0.001144,6.879321,6.587297,9.124556,40.810000,95.550000,-150.640000
0.505,0.001142,7.171345,3.135668,5.591543,63.910000,97.930000,-175.630000
0.507,0.001144,8.004332,0.157980,4.844727,50.890000,105.490000,-180.460000
0.509,0.001145,8.138376,-0.885647,4.241530,32.620000,100.310000,-152.950000
0.511,0.001143,7.468157,-0.335110,4.854302,15.820000,96.670000,-126.000000
0.513,0.001197,6.903258,1.651612,6.333571,2.100000,91.000000,-105.840000
0.515,0.001148,6.855385,4.681960,7.846352,4.970000,91.770000,-117.040000
0.517,0.001145,4.571852,8.506997,9.684667,24.360000,106.470000,-112.280000
0.519,0.001147,4.370787,10.675634,9.172428,61.320000,119.210000,-113.260000
0.521,0.001143,0.526601,12.341608,9.943181,90.090000,137.970000,-142.170000
0.523,0.001145,-3.011199,12.662356,9.301685,136.010000,161.280000,-120.540000
0.525,0.001144,-7.358049,14.821419,12.078307,171.640000,175.350000,-69.720000
0.527,0.001144,-8.511784,15.635256,9.421367,208.740000,185.710000,7.840000
0.529,0.001145,-8.679339,15.850684,11.312343,260.120000,202.650000,62.790000
0.531,0.001143,-9.555411,20.288493,6.721341,322.630000,232.680000,110.740000
0.533,0.001144,-12.475652,20.130512,11.321917,443.240000,213.010000,164.150000
0.535,0.001142,-12.695867,17.444848,7.492093,486.430000,244.370000,218.190000
0.537,0.001145,-8.808595,16.324625,6.788363,446.600000,294.560000,155.610000
0.539,0.001144,-8.435187,13.916623,10.977233,480.970000,379.050000,-23.520000
0.541,0.001141,-4.868664,18.632094,8.593168,454.370000,485.170000,-221.060000
0.543,0.001378,-8.214972,29.106662,18.938480,296.730000,608.440000,-512.190000
0.545,0.001255,-15.367169,32.845528,23.476821,388.080000,706.440000,-625.240000
0.547,0.001160,-23.371501,39.222185,32.572653,508.410000,761.390000,-591.990000
0.549,0.001149,-30.135928,42.400939,39.327505,517.720000,799.960000,-432.740000
0.551,0.001147,-29.331665,43.061584,51.946775,718.480000,843.010000,-272.090000
0.553,0.001148,-28.110908,34.817887,47.298326,1051.890000,883.050000,-72.450000
0.555,0.001143,-23.089051,32.074776,49.586646,988.680000,874.440000,109.200000
0.557,0.001196,-16.942184,26.392275,58.715989,1214.640000,930.860000,176.820000
0.559,0.001341,-11.484685,13.820877,56.887248,1441.160000,1001.560000,195.300000
0.561,0.001231,-6.802725,7.511242,49.945692,1470.980000,1026.620000,182.070000
0.563,0.001199,-1.962785,-1.172884,59.434081,1472.940000,1064.840000,128.800000
0.565,0.001146,1.555866,-8.167100,56.078198,1532.300000,1120.070000,79.520000
0.567,0.001145,5.127177,-14.495884,49.347282,1546.090000,1170.610000,27.020000
